AttPercent	SuspensionCount 	IsMoble	IsMale	IsWhite	IsBlack	IsAsian	IsOtherRace	IsELL	IsUrbanRsd	HighNeeds	IsFreeLunch	IsReducedLunch	IsSpecialEd	IsFirstLangEng	IsMcasElaP	IsMcasElaNI	IsMcasElaW	IsMcasElaP	IsMcasElaNI	IsMcasElaW	LogCount	M1CourseCount(<B)	Q1CourseCount(<B)	Q2CourseCount(<B)	Q3CourseCount(<B)	Q4CourseCount(<B)	Y1Fail
0.943925234	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.925233645	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.953271028	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	4	0	1	1	0	0	0
0.859813084	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.799065421	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0
0.91588785	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0
0.906542056	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	17	0	0	0	0	0	0
0.981308411	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
0.91588785	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	4	0	1	1	1	2	1
0.841121495	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	5	0	0	0	0	0	0
0.817757009	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.953271028	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.934579439	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
0.822429907	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
0.859813084	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	2	0	0	1	1	0	0
0.906542056	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.990654206	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	2	1	3	0	0
0.859813084	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.869158879	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0
0.953271028	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.841121495	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0
0.906542056	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.925233645	1	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	6	0	2	1	4	2	1
0.925233645	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.859813084	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	19	0	5	5	4	1	1
0.859813084	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	4	0	0	0	0	0	0
0.803738318	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	9	0	1	4	1	4	1
0.869158879	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.990654206	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.91588785	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.91588785	6	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	33	0	4	3	2	1	1
0.925233645	0	1	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1
0.897196262	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0
0.887850467	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0
0.962616822	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	2	0	1	0	0	1	0
0.85046729	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	0	0	0	1
0.971962617	0	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	2	3	1	0	1
0.934579439	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	5	0	0	0	1	2	1
0.672897196	2	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	39	0	2	1	0	0	1
